!Username	ElementId	Amount	Difference
42Hz	4211085	50	NULL
42Hz	4211357	100	NULL
42Hz	4211388	100	NULL
42Hz	4211398	400	NULL
42Hz	4211413	200	NULL
42Hz	4211414	200	NULL
42Hz	4247145	100	NULL
42Hz	4269651	8	NULL
42Hz	4518653	100	NULL
42Hz	4528604	500	NULL
42Hz	4540386	200	NULL
42Hz	4594292	50	NULL
42Hz	4616845	200	NULL
42Hz	4640844	200	NULL
42Hz	6002843	50	NULL
42Hz	6002847	50	NULL
42Hz	6006524	50	NULL
42Hz	6020157	50	NULL
42Hz	6036424	100	NULL
42Hz	6044702	300	NULL
42Hz	6047885	300	NULL
42Hz	6055309	100	NULL
42Hz	6055509	200	NULL
42Hz	6058093	50	NULL
42Hz	6071229	200	NULL
42Hz	6073231	100	NULL
42Hz	6078605	200	NULL
42Hz	6081975	100	NULL
Akki	300801	50	NULL
Akki	306901	200	NULL
Akki	4129872	200	NULL
Akki	4210700	100	NULL
Akki	4210997	50	NULL
Akki	4211055	200	NULL
Akki	4211063	200	NULL
Akki	4211065	100	NULL
Akki	4211085	200	NULL
Akki	4211088	200	NULL
Akki	4211388	200	NULL
Akki	4211398	200	NULL
Akki	4211413	200	NULL
Akki	4211414	200	NULL
Akki	4247145	100	NULL
Akki	4249891	300	NULL
Akki	4255413	200	NULL
Akki	4255624	100	NULL
Akki	4264569	200	NULL
Akki	4504375	200	NULL
Akki	4515374	50	NULL
Akki	4528604	200	NULL
Akki	4536521	50	NULL
Akki	4540386	200	NULL
Akki	4558952	200	NULL
Akki	4594292	50	NULL
Akki	4656783	100	NULL
Akki	6000311	100	NULL
Akki	6003331	100	NULL
Akki	6021997	200	NULL
Akki	6023209	50	NULL
Akki	6024692	50	NULL
Akki	6047501	200	NULL
Akki	6055145	50	NULL
Akki	6055309	100	NULL
Akki	6062574	100	NULL
Akki	6073231	100	NULL
Akki	6074312	50	NULL
Akki	6084571	50	NULL
Anders67	4211063	400	NULL
Anders67	4211357	200	NULL
Anders67	4211398	500	NULL
Anders67	4211413	1000	NULL
Anders67	4211414	400	NULL
Anders67	4518653	100	NULL
Anders67	4528604	400	NULL
Anders67	4529685	1000	NULL
Anders67	4540386	200	NULL
Anders67	4570877	500	NULL
Anders67	4594292	100	NULL
Anders67	4614158	200	NULL
Anders67	4623429	400	NULL
Anders67	4640844	200	NULL
Anders67	4656783	300	NULL
Anders67	6000311	300	NULL
Anders67	6055509	200	NULL
Anders67	6058221	600	NULL
Anders67	6071229	400	NULL
Anders67	6075208	300	NULL
Anders67	6081975	200	NULL
AndersI	4249891	500	NULL
AndersI	4255413	200	NULL
AndersI	4255624	200	NULL
AndersI	4264569	200	NULL
AndersI	4504375	200	NULL
AndersI	4521947	200	NULL
AndersI	4521948	300	NULL
AndersI	4536521	100	NULL
AndersI	4536998	100	NULL
AndersI	4616578	400	NULL
AndersI	4616581	500	NULL
AndersI	4620068	50	NULL
AndersI	6003331	100	NULL
AndersI	6009656	100	NULL
AndersI	6014648	200	NULL
AndersI	6023209	200	NULL
AndersI	6036424	100	NULL
AndersI	6044702	300	NULL
AndersI	6047885	300	NULL
AndersI	6058093	50	NULL
AndersI	6073231	100	NULL
AndersI	6075617	100	NULL
AndersI	6084571	50	NULL
AndersI	6103001	400	NULL
AndersNolberger	242328	200	NULL
AndersNolberger	4121969	100	NULL
AndersNolberger	4129872	100	NULL
AndersNolberger	4210700	100	NULL
AndersNolberger	4211088	500	NULL
AndersNolberger	4211388	500	NULL
AndersNolberger	4211398	500	NULL
AndersNolberger	4255624	100	NULL
AndersNolberger	4504375	300	NULL
AndersNolberger	4515374	50	NULL
AndersNolberger	4546705	300	NULL
AndersNolberger	4613823	200	NULL
AndersNolberger	4616845	100	NULL
AndersNolberger	4623429	200	NULL
AndersNolberger	6003331	50	NULL
AndersNolberger	6023209	100	NULL
AndersNolberger	6024692	50	NULL
AndersNolberger	6040310	150	NULL
AndersNolberger	6047501	500	NULL
AndersNolberger	6055309	50	NULL
AndersNolberger	6055509	200	NULL
AndersNolberger	6058221	200	NULL
AndersNolberger	6058257	100	NULL
